Year[d],Country,Champion,Country,Runner-up,Score in the final[5]
1877,BRI[e],Spencer Gore,BRI,William Marshall,"6–1, 6–2, 6–4"
1878,BRI,Frank Hadow ‡,BRI,Spencer Gore,"7–5, 6–1, 9–7"
1879,BRI,John Hartley ◊,BRI,Vere St. Leger Goold,"6–2, 6–4, 6–2"
1880,BRI,John Hartley †,BRI,Herbert Lawford,"6–3, 6–2, 2–6, 6–3"
1881,BRI,William Renshaw ‡,BRI,John Hartley,"6–0, 6–1, 6–1"
1882,BRI,William Renshaw †,BRI,Ernest Renshaw,"6–1, 2–6, 4–6, 6–2, 6–2"
1883,BRI,William Renshaw †,BRI,Ernest Renshaw,"2–6, 6–3, 6–3, 4–6, 6–3"
1884,BRI,William Renshaw †,BRI,Herbert Lawford,"6–0, 6–4, 9–7"
1885,BRI,William Renshaw †,BRI,Herbert Lawford,"7–5, 6–2, 4–6, 7–5"
1886,BRI,William Renshaw †,BRI,Herbert Lawford,"6–0, 5–7, 6–3, 6–4"
1887,BRI,Herbert Lawford ◊,BRI,Ernest Renshaw,"1–6, 6–3, 3–6, 6–4, 6–4"
1888,BRI,Ernest Renshaw ‡,BRI,Herbert Lawford,"6–3, 7–5, 6–0"
1889,BRI,William Renshaw ‡,BRI,Ernest Renshaw,"6–4, 6–1, 3–6, 6–0"
1890,BRI,Willoughby Hamilton ‡,BRI,William Renshaw,"6–8, 6–2, 3–6, 6–1, 6–1"
1891,BRI,Wilfred Baddeley ◊,BRI,Joshua Pim,"6–4, 1–6, 7–5, 6–0"
1892,BRI,Wilfred Baddeley †,BRI,Joshua Pim,"4–6, 6–3, 6–3, 6–2"
1893,BRI,Joshua Pim ‡,BRI,Wilfred Baddeley,"3–6, 6–1, 6–3, 6–2"
1894,BRI,Joshua Pim †,BRI,Wilfred Baddeley,"10–8, 6–2, 8–6"
1895,BRI,Wilfred Baddeley ◊,BRI,Wilberforce Eaves,"4–6, 2–6, 8–6, 6–2, 6–3"
1896,BRI,Harold Mahony ‡,BRI,Wilfred Baddeley,"6–2, 6–8, 5–7, 8–6, 6–3"
1897,BRI,Reginald Doherty ‡,BRI,Harold Mahony,"6–4, 6–4, 6–3"
1898,BRI,Reginald Doherty †,BRI,Laurence Doherty,"6–3, 6–3, 2–6, 5–7, 6–1"
1899,BRI,Reginald Doherty †,BRI,Arthur Gore,"1–6, 4–6, 6–3, 6–3, 6–3"
1900,BRI,Reginald Doherty †,BRI,Sydney Smith,"6–8, 6–3, 6–1, 6–2"
1901,BRI,Arthur Gore ‡,BRI,Reginald Doherty,"4–6, 7–5, 6–4, 6–4"
1902,BRI,Laurence Doherty ‡,BRI,Arthur Gore,"6–4, 6–3, 3–6, 6–0"
1903,BRI,Laurence Doherty †,BRI,Frank Riseley,"7–5, 6–3, 6–0"
1904,BRI,Laurence Doherty †,BRI,Frank Riseley,"6–1, 7–5, 8–6"
1905,BRI,Laurence Doherty †,AUS,Norman Brookes,"8–6, 6–2, 6–4"
1906,BRI,Laurence Doherty †,BRI,Frank Riseley,"6–4, 4–6, 6–2, 6–3"
1907,AUS,Norman Brookes ◊,BRI,Arthur Gore,"6–4, 6–2, 6–2"
1908,BRI,Arthur Gore ◊,BRI,Herbert Roper Barrett,"6–3, 6–2, 4–6, 3–6, 6–4"
1909,BRI,Arthur Gore †,BRI,Major Ritchie,"6–8, 1–6, 6–2, 6–2, 6–2"
1910,NZL,Anthony Wilding ‡,BRI,Arthur Gore,"6–4, 7–5, 4–6, 6–2"
1911,NZL,Anthony Wilding †,BRI,Herbert Roper Barrett,"6–4, 4–6, 2–6, 6–2, retired[f]"
1912,NZL,Anthony Wilding †,BRI,Arthur Gore,"6–4, 6–4, 4–6, 6–4"
1913,NZL,Anthony Wilding †,USA,Maurice McLoughlin,"8–6, 6–3, 10–8"
1914,AUS,Norman Brookes ‡,NZL,Anthony Wilding,"6–4, 6–4, 7–5"
1919,AUS,Gerald Patterson ‡,AUS,Norman Brookes,"6–3, 7–5, 6–2"
1920,USA,Bill Tilden ‡,AUS,Gerald Patterson,"2–6, 6–3, 6–2, 6–4"
1921,USA,Bill Tilden †,SAF,Brian Norton,"4–6, 2–6, 6–1, 6–0, 7–5"
1922,AUS,Gerald Patterson,BRI,Randolph Lycett,"6–3, 6–4, 6–2"
1923,USA,Bill Johnston,USA,Francis Hunter,"6–0, 6–3, 6–1"
1924,FRA,Jean Borotra,FRA,René Lacoste,"6–1, 3–6, 6–1, 3–6, 6–4"
1925,FRA,René Lacoste,FRA,Jean Borotra,"6–3, 6–3, 4–6, 8–6"
1926,FRA,Jean Borotra,USA,Howard Kinsey,"8–6, 6–1, 6–3"
