1,2,10,Bagno a mezzanotte,Elodie,
2,1,2,Hold my hand,Lady GaGa,
3,5,6,As it was,Harry Styles,
4,-,1,No stress,Marco Mengoni,
5,4,10,Bam bam,Camila Cabello feat. Ed Sheeran,
6,-,1,Stay alive,Jung Kook,
7,-,1,2step,Ed Sheeran feat. Ultimo,
8,8,10,Shakerando,Rhove,
9,7,8,I love you baby,Jovanotti & sixpm,
10,20,7,5 gocce,Irama feat. Rkomi,
11,15,4,L'eccezione (from Bang bang baby),,Madame
12,9,8,Propaganda,"Fabri Fibra, Colapesce & Di Martino",
13,14,12,Clap your hands,Kungs,
14,17,14,Farfalle,Sangiovanni,
15,11,9,Volevamo solo essere felici,Francesco Gabbani,
16,19,14,Ovunque sarai,Irama,
17,-,1,Litoranea,Elisa & Matilda De Angelis,
18,12,14,Dove si balla,Dargen D'Amico,
19,45,3,Fortuna,Ghali,
20,6,2,Tienimi stanotte,Luigi Strangis,
21,10,15,Ciao ciao,La Rappresentante di Lista,
22,22,9,Heat waves,Glass Animals,
23,18,5,Ferrari,James Hype & Miggy Dela Rosa,
24,32,4,Tacones royos,Sebastian Yatra & John Legend,
25,35,2,Sea shanty medley,Home Free,
26,13,2,Non cambierei questa vita con nessun'altra,Ligabue,
27,27,9,Bones,Imagine Dragons,
28,44,16,In the dark,Purple Disco Machine & Sophie and the Giants,
29,24,15,Brividi,Mahmood & Blanco,
30,41,7,Sigue,J Balvin & Ed Sheeran,
31,-,113,Shallow,Lady GaGa & Bradley Cooper,
32,-,1,Scossa,Sangiovanni,
33,3,2,Senza chiedere permesso,Alex W,
34,21,12,Tutte le notti,Tommaso Paradiso,
35,33,7,La pioggia alla domenica,Vasco Rossi & Marracash,
36,38,2,About damn time,Lizzo,
37,42,22,Finchè non mi seppelliscono,Blanco,
38,-,1,The heart part 5,Kendrick Lamar,
39,-,13,O forse sei tu,Elisa,
40,-,1,The clapping song,Mind Enterprises,
41,23,4,Mil pasos,Soha,
42,-,1,Come la prima volta,Aka 7even,
43,-,11,Unstoppable,Sia,
44,31,9,Occhi rossi,Coez,
45,16,22,Mi fiderò,Marco Mengoni feat. Madame,
46,-,13,? Love,Marracash & Guè,
47,40,6,Romance,Fred De Palma & Justin Quiles,
48,50,38,Ritmo (extended mix),Raffa Fl,
49,34,5,Morto per te,Follya,
50,-,1,Learn to say no,Kayma,
